,x,y,z,region,septum,mitral_valve
182,5,113,27,heart_myocardium,0,0
183,5,114,26,heart_myocardium,0,0
184,6,93,28,heart_myocardium,0,0
185,6,94,24,heart_myocardium,0,0
186,6,94,25,heart_myocardium,0,0
187,6,94,26,heart_myocardium,0,0
188,6,94,27,heart_myocardium,0,0
189,6,94,28,heart_myocardium,0,0
190,6,94,29,heart_myocardium,0,0
191,6,94,30,heart_myocardium,0,0
192,6,95,22,heart_myocardium,0,0
193,6,95,23,heart_myocardium,0,0
194,6,95,24,heart_myocardium,0,0
195,6,95,25,heart_myocardium,0,0
196,6,95,26,heart_myocardium,0,0
197,6,95,27,heart_myocardium,0,0
198,6,95,28,heart_myocardium,0,0
199,6,95,29,heart_myocardium,0,0
200,6,95,30,heart_myocardium,0,0
201,6,95,31,heart_myocardium,0,0
202,6,95,32,heart_myocardium,0,0
203,6,96,21,heart_myocardium,0,0
204,6,96,22,heart_myocardium,0,0
205,6,96,23,heart_myocardium,0,0
206,6,96,24,heart_myocardium,0,0
207,6,96,25,heart_myocardium,0,0
208,6,96,26,heart_myocardium,0,0
209,6,96,27,heart_myocardium,0,0
210,6,96,28,heart_myocardium,0,0
211,6,96,29,heart_myocardium,0,0
212,6,96,30,heart_myocardium,0,0
213,6,96,31,heart_myocardium,0,0
214,6,96,32,heart_myocardium,0,0
215,6,97,20,heart_myocardium,0,0
216,6,97,21,heart_myocardium,0,0
217,6,97,22,heart_myocardium,0,0
218,6,97,23,heart_myocardium,0,0
219,6,97,24,heart_myocardium,0,0
220,6,97,30,heart_myocardium,0,0
221,6,97,31,heart_myocardium,0,0
222,6,97,32,heart_myocardium,0,0
223,6,97,33,heart_myocardium,0,0
224,6,98,19,heart_myocardium,0,0
225,6,98,20,heart_myocardium,0,0
226,6,98,21,heart_myocardium,0,0
227,6,98,22,heart_myocardium,0,0
228,6,98,31,heart_myocardium,0,0
229,6,98,32,heart_myocardium,0,0
230,6,98,33,heart_myocardium,0,0
231,6,99,18,heart_myocardium,0,0
232,6,99,19,heart_myocardium,0,0
233,6,99,20,heart_myocardium,0,0
234,6,99,21,heart_myocardium,0,0
235,6,99,31,heart_myocardium,0,0
236,6,99,32,heart_myocardium,0,0
237,6,99,33,heart_myocardium,0,0
238,6,100,18,heart_myocardium,0,0
239,6,100,19,heart_myocardium,0,0
240,6,100,20,heart_myocardium,0,0
241,6,100,32,heart_myocardium,0,0
242,6,100,33,heart_myocardium,0,0
243,6,100,34,heart_myocardium,0,0
244,6,101,17,heart_myocardium,0,0
245,6,101,18,heart_myocardium,0,0
246,6,101,19,heart_myocardium,0,0
247,6,101,32,heart_myocardium,0,0
248,6,101,33,heart_myocardium,0,0
249,6,101,34,heart_myocardium,0,0
250,6,102,17,heart_myocardium,0,0
251,6,102,18,heart_myocardium,0,0
252,6,102,32,heart_myocardium,0,0
253,6,102,33,heart_myocardium,0,0
254,6,102,34,heart_myocardium,0,0
255,6,103,16,heart_myocardium,0,0
256,6,103,17,heart_myocardium,0,0
257,6,103,18,heart_myocardium,0,0
258,6,103,32,heart_myocardium,0,0
259,6,103,33,heart_myocardium,0,0
260,6,103,34,heart_myocardium,0,0
261,6,104,16,heart_myocardium,0,0
262,6,104,17,heart_myocardium,0,0
263,6,104,32,heart_myocardium,0,0
264,6,104,33,heart_myocardium,0,0
265,6,104,34,heart_myocardium,0,0
266,6,105,16,heart_myocardium,0,0
267,6,105,17,heart_myocardium,0,0
268,6,105,32,heart_myocardium,0,0
269,6,105,33,heart_myocardium,0,0
270,6,105,34,heart_myocardium,0,0
271,6,106,16,heart_myocardium,0,0
272,6,106,17,heart_myocardium,0,0
273,6,106,32,heart_myocardium,0,0
274,6,106,33,heart_myocardium,0,0
275,6,106,34,heart_myocardium,0,0
276,6,107,16,heart_myocardium,0,0
277,6,107,17,heart_myocardium,0,0
